%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.type
66008000000,65,66008000000,sim_sensor,107.0,2.52456942315,3.96196053495,0.0634974786246,6.28153808997e-07,9.33871311657e-07,-0.692043919572,0.721855396449,
67009000000,66,67009000000,sim_sensor,119.0,2.54562469923,3.4624094584,0.0634976150024,7.14166396132e-07,1.53585727093e-06,-0.692064043234,0.721836103323,
68009000000,67,68009000000,sim_sensor,127.0,2.56668160505,2.96281768697,0.0634972658092,7.75079154382e-07,-3.87903438185e-07,-0.692062806905,0.721837288658,
69010000000,68,69010000000,sim_sensor,154.0,2.70388153528,2.49775802317,0.0634982006096,9.49519529235e-07,5.2180000692e-06,-0.173104569104,0.98490345117,
70008000000,69,70008000000,sim_sensor,86.0,3.13549171413,2.4021235013,0.0634976640251,-3.03985340541e-07,4.86941283311e-07,0.0289175823118,0.999581799271,
71010000000,70,71010000000,sim_sensor,71.0,3.63476545523,2.43102974065,0.0634965912167,-5.1524962793e-07,1.60193084697e-06,0.0289044197775,0.99958217997,
72010000000,71,72010000000,sim_sensor,3.0,4.13391294775,2.45992821007,0.0634976561398,-1.13032564177e-07,1.67277735299e-06,0.0289130179655,0.999581931304,
73012000000,72,73012000000,sim_sensor,4.0,4.63413352009,2.48888990703,0.063497422086,-6.82843728259e-07,-3.23246882085e-08,0.0289154156675,0.999581861948,
74009000000,73,74009000000,sim_sensor,2.0,5.13372522625,2.51208840492,0.063498491205,-8.07230307688e-07,8.55664952374e-07,0.0710745397141,0.997471006999,
75010000000,74,75010000000,sim_sensor,3.0,5.57345480984,2.72382354021,0.0634979753117,-2.60807822527e-06,1.76170704791e-06,0.658416035268,0.752654186524,
76009000000,75,76009000000,sim_sensor,2.0,5.61184025223,3.22243031551,0.0634975163142,-1.05978230461e-06,1.70120963006e-07,0.688035661514,0.725676876085,
77006000000,76,77006000000,sim_sensor,0.0,5.63843553903,3.72174056877,0.0634973137324,-9.6147297425e-07,1.97405019612e-06,0.688046698719,0.725666411222,
78010000000,77,78010000000,sim_sensor,1.0,5.6650861201,4.22204854535,0.0634976319543,-6.9065038084e-07,6.42246870197e-08,0.688049590741,0.72566366912,
79009000000,78,79009000000,sim_sensor,7.0,5.69163169768,4.72042874707,0.0634973294433,-1.1057448359e-06,8.08167027614e-07,0.688031898221,0.725680444155,
80008000000,79,80008000000,sim_sensor,0.0,5.71822538574,5.21971498648,0.0634976299922,-1.08094486513e-06,1.26319153784e-06,0.68804921575,0.725664024672,
81010000000,80,81010000000,sim_sensor,0.0,5.74484878579,5.71955408763,0.0634973176964,-1.02957767723e-06,-6.29406021387e-07,0.688050786005,0.725662535809,
82007000000,81,82007000000,sim_sensor,0.0,5.77144405004,6.2189116543,0.0634968053933,-1.66065775925e-07,2.33043491411e-06,0.688046484938,0.725666613921,
83015000000,82,83015000000,sim_sensor,0.0,5.75363290681,6.72172337129,0.0634975995897,-1.92783146037e-06,-2.34437612427e-06,0.936605972388,0.350384435268,
84013000000,83,84013000000,sim_sensor,0.0,5.32181497334,6.91361302185,0.0634975290731,-1.89059260477e-06,-1.1366987092e-06,0.999993635195,0.0035678515115,
85014000000,84,85014000000,sim_sensor,0.0,4.82177976086,6.91719360853,0.0634972955106,-4.6435061619e-07,8.52121314263e-07,0.999993581213,0.00358295012956,
86013000000,85,86013000000,sim_sensor,0.0,4.32125715509,6.92077803138,0.0634972806485,-1.04113206256e-06,-1.28841175876e-06,0.999993630177,0.00356925794053,
87017000000,86,87017000000,sim_sensor,0.0,3.81926258811,6.92437040426,0.0634976821034,-1.02692971834e-06,-1.72532106048e-07,0.999993559591,0.00358897963146,
88010000000,87,88010000000,sim_sensor,0.0,3.32122057346,6.92793558007,0.0634974222686,-1.32502002225e-06,6.8715055734e-07,0.999993648633,0.00356408350377,
89013000000,88,89013000000,sim_sensor,0.0,2.82171127946,6.93151367728,0.0634972300497,-1.78699160811e-06,-1.57574050964e-06,0.999993568454,0.00358650880055,
90013000000,89,90013000000,sim_sensor,0.0,2.3217091467,6.93509348102,0.0634975280484,-4.84379843618e-07,3.52047908999e-07,0.999993556947,0.00358971630857,
91013000000,90,91013000000,sim_sensor,0.0,1.82167684555,6.93867653294,0.0634975754778,-1.07300092901e-06,-2.01886141584e-07,0.999993650172,0.00356365183241,
92013000000,91,92013000000,sim_sensor,0.0,1.32167435291,6.94225889913,0.0634975822307,-1.59532609267e-06,-6.41804423398e-07,0.999993547319,0.00359239725403,
93010000000,92,93010000000,sim_sensor,0.0,0.820647005685,6.94584793675,0.0634973037361,-4.84967463667e-07,8.58783824479e-07,0.999993564356,0.00358765174542,
94014000000,93,94014000000,sim_sensor,0.0,0.320625650755,6.94943372666,0.0634972665668,-1.07745902233e-06,-1.35585856469e-06,0.999993609412,0.00357507097806,
95016000000,94,95016000000,sim_sensor,0.0,-0.179368128363,6.95301687626,0.0634976820453,-9.73365977992e-07,-1.86565599057e-07,0.999993540693,0.00359424138609,
96015000000,95,96015000000,sim_sensor,0.0,-0.67941035282,6.95660174749,0.0634974372536,-1.31179915286e-06,6.2154447637e-07,0.999993630725,0.00356910450071,
97016000000,96,97016000000,sim_sensor,0.0,-1.17942032635,6.96018868023,0.0634972401181,-1.79222839701e-06,-1.50721477302e-06,0.999993549611,0.00359175874203,
98016000000,97,98016000000,sim_sensor,0.0,-1.67942310946,6.96377348496,0.0634975200804,-4.7268063119e-07,4.11965708408e-07,0.99999353961,0.00359454277987,
99017000000,98,99017000000,sim_sensor,0.0,-2.17945435358,6.96736151249,0.0634975749861,-1.08380337725e-06,-2.18964636672e-07,0.999993632509,0.00356860466285,
100015000000,99,100015000000,sim_sensor,0.0,-2.67945576153,6.97094869738,0.0634975895514,-1.58586153918e-06,-6.73294459705e-07,0.999993528587,0.00359760781479,
101014000000,100,101014000000,sim_sensor,0.0,-3.17948408439,6.97453547215,0.0634973600004,-5.36013268098e-07,6.85097035311e-07,0.999993547681,0.00359229672763,
102019000000,101,102019000000,sim_sensor,0.0,-3.68100576476,6.97813708082,0.063497253594,-1.0799930287e-06,-1.36142523933e-06,0.999993590557,0.00358034107485,
103016000000,102,103016000000,sim_sensor,0.0,-4.17949946314,6.9817144049,0.063497680165,-9.3490115383e-07,-1.11552191709e-07,0.999993523965,0.0035988924063,
