Distance(cm),Unattenuated,Water(5cm),Concrete(5cm),Water(10cm)
39.5,4.22E-05,2.68E-05,1.62E-05,NA
39.6,4.20E-05,2.66E-05,1.62E-05,NA
39.7,4.18E-05,2.65E-05,1.61E-05,NA
39.8,4.16E-05,2.64E-05,1.60E-05,NA
39.9,4.14E-05,2.62E-05,1.59E-05,NA
40,4.12E-05,2.61E-05,1.58E-05,NA
40.1,4.10E-05,2.60E-05,1.58E-05,1.66E-05
40.2,4.08E-05,2.58E-05,1.57E-05,1.65E-05
40.3,4.06E-05,2.57E-05,1.56E-05,1.64E-05
40.4,4.04E-05,2.56E-05,1.55E-05,1.64E-05
40.5,4.02E-05,2.55E-05,1.55E-05,1.63E-05
40.6,4.00E-05,2.53E-05,1.54E-05,1.62E-05
40.7,3.98E-05,2.52E-05,1.53E-05,1.61E-05
40.8,3.96E-05,2.51E-05,1.52E-05,1.60E-05
40.9,3.94E-05,2.50E-05,1.51E-05,1.60E-05
41,3.92E-05,2.48E-05,1.51E-05,1.59E-05
41.1,3.90E-05,2.47E-05,1.50E-05,1.58E-05
41.2,3.88E-05,2.46E-05,1.49E-05,1.57E-05
41.3,3.86E-05,2.45E-05,1.49E-05,1.56E-05
41.4,3.84E-05,2.44E-05,1.48E-05,1.56E-05
41.5,3.83E-05,2.42E-05,1.47E-05,1.55E-05
41.6,3.81E-05,2.41E-05,1.46E-05,1.54E-05
41.7,3.79E-05,2.40E-05,1.46E-05,1.54E-05
41.8,3.77E-05,2.39E-05,1.45E-05,1.53E-05
41.9,3.75E-05,2.38E-05,1.44E-05,1.52E-05
42,3.73E-05,2.37E-05,1.44E-05,1.51E-05
42.1,3.72E-05,2.36E-05,1.43E-05,1.51E-05
42.2,3.70E-05,2.34E-05,1.42E-05,1.50E-05
42.3,3.68E-05,2.33E-05,1.42E-05,1.49E-05
42.4,3.66E-05,2.32E-05,1.41E-05,1.48E-05
42.5,3.65E-05,2.31E-05,1.40E-05,1.48E-05
42.6,3.63E-05,2.30E-05,1.40E-05,1.47E-05
42.7,3.61E-05,2.29E-05,1.39E-05,1.46E-05
42.8,3.60E-05,2.28E-05,1.38E-05,1.46E-05
42.9,3.58E-05,2.27E-05,1.38E-05,1.45E-05
43,3.56E-05,2.26E-05,1.37E-05,1.44E-05
43.1,3.55E-05,2.25E-05,1.36E-05,1.44E-05
